VideoID,CommentsTotal,CommentsClean,CareScore,FairnessScore,LoyaltyScore,AuthorityScore,SanctityScore,CIIndex,NarrativeLabel,SilhouetteScore,VideoCommentAlignment,CollectiveAction
xYP1GGdRMYo,9188.0,159,1.4583599306069808,16.630724920287925,1.9478115250662589,0.2625747878854724,1.2351941658417716,0.650375939849624,Choose (discuss),0.08742731,0.4394802,0.0107073554159456
4xdSx78YStg,1.0,1,1.4031453041434752,0.4896655089156585,0.0601411350136027,-0.2898796127380788,4.505776100685723,0.8529411764705883,Good health (benefits),-0.04314225,-0.03309699,0.0
VdC8ScMhQFQ,1.0,1,-0.169773746852347,-0.1112030615754799,-0.0921629352117989,-0.2314764752730574,-0.3616690431664754,0.75,Good health (personal),0.009015294,0.013821153,0.0
kp4eZ0W3fjA,57.0,47,1.0812086769876237,-0.1525764953671965,-0.063611609456787,-0.3083247253847539,2.416043580266204,0.8924050632911392,Good health (benefits),-0.0007393632,0.5471735,0.0058835963091282
dEI4aGxZwgQ,,0,1.2893973348823335,3.154941572497499,0.2411373080706301,-0.3131831571602776,1.88672293580974,0.3732394366197183,Noise,,,
_8NfuHASW-Y,19.0,19,1.4151957070729897,-0.2885509311293336,-0.1212524513521184,-0.4169728880109945,0.5851704599872016,0.9766355140186916,Good health (benefits),0.047658548,0.5922589,0.0022883295194508
crcMh6NB6SM,0.0,0,-0.0943006335319404,-0.1806308410927142,-0.129558970004192,-0.4032924829756206,0.0656317507371012,0.988095238095238,Good health (personal),-0.106659435,,
P20lhiVyfBs,6.0,6,-0.161409292107564,-0.3021713646363526,-0.179107539185496,-0.3734940408134777,-0.2386688978621769,0.9838709677419356,Good health (personal),-0.028766146,0.54026616,0.0098039215686274
qk17K6L2pAA,126.0,107,0.1332687791470532,0.0723479952729615,0.0443239224203699,-0.1462752267869035,0.1033156976171114,0.8055555555555556,Good health (personal),-0.07171032,0.73908406,0.007724991219641
tXlEOMfcv9w,,0,1.053256329115959,3.222416503129174,0.2444261868536626,0.6262516262016888,1.3659619942997978,0.8739130434782609,Noise,,,
xvstCp2_A3o,22.0,19,-0.1647249091681749,0.2068135118984259,-0.1839159212896561,-0.3461059677931552,-0.4106125065059441,0.9764150943396226,Good health (personal),-0.013176194,0.4588307,0.0043859649122807
n74aHN2ktlA,0.0,0,0.421713356382108,1.5148320106499662,-0.1793392574964281,-0.3937556036952196,0.3295370870818211,0.9864864864864864,Good health (personal),-0.1540259,,
lPCBxflUdnI,407.0,180,1.11260755950822,0.4444333318092457,-0.1497222431911092,-0.3293027947532861,1.4044145929911076,0.7892156862745099,Good health (benefits),-0.081808545,0.79429114,0.0105141217347821
wsrksk0vpRQ,6.0,6,1.506883866771059,-0.2325170189977875,0.060073230236773,-0.3150808460090379,0.2990063851216251,0.963157894736842,Good health (benefits),0.007089804,0.35851932,0.0
xAyaQSwujZM,3.0,0,0.5789351915385144,-0.1617844418002773,0.698383707993169,0.2877244043259631,2.021931813287034,0.74,Good health (personal),-0.04707613,,
ouYtlNgECbo,1.0,0,0.6685360795808369,11.211242284487922,1.0237482014239927,4.032275695960353,2.1093660417625464,0.875,Choose (personal),0.010752494,,
ViPcK6s9yvM,755.0,178,1.492910596177661,1.5416250350437484,-0.1605125405289069,-0.3455899765206101,0.8577345206281327,0.9730392156862744,Good health (benefits),-0.0064362716,0.57578933,0.0122068851560699
ZRuytGHlpNc,5420.0,156,-0.1150749036253735,-0.3159657397678232,-0.1514488187964644,-0.3187071340895065,0.3420164574766725,0.6978021978021978,Good health (personal),-0.018257752,0.3736633,0.0089116361678612
wZjrDKbQ_88,75.0,0,1.551508952471538,3.242557827347739,0.4229599484570737,0.7370840329033467,7.360184477944758,0.9875,Choose (personal),-0.12008312,,
C72eHn9Ql94,0.0,0,1.0172166407383638,0.1850962243907097,3.978666267123328,-0.1330371652614693,2.394511816252012,0.2692307692307692,Educate (inspire),-0.0007503166,,
1ggwNdxYLEA,,0,1.2817288772232789,3.5463038872130763,0.176140172713775,0.6964108030236726,0.4763027715747343,0.7426470588235294,Noise,,,
L0R3K5mRKnM,2.0,2,1.2558061972684993,0.0554169646306137,1.6947787547876942,-0.1022151998197411,-0.0710584831114613,0.1348920863309352,Educate (inform),-0.080758095,0.32428524,0.0
tHEz2UKmBgU,,0,1.49335671344529,1.3292832880466778,10.58604036565558,-0.2851731128159753,1.236778054422632,0.8552631578947368,Noise,,,
AKZUPjBDQ00,10.0,8,-0.0742718990271791,-0.2071073576691227,-0.1516202499639195,-0.375888051228623,-0.0903980737535021,0.9897959183673468,Good health (personal),0.028171718,0.3700207,0.0152977507374631
UP5ETdCUEVI,2966.0,160,0.3390469325322407,1.2817964275049638,0.0497048511245989,-0.2739677630310165,0.081134047009357,0.8076923076923077,Good health (personal),-0.10383066,0.6430815,0.0123738255916202
1ooigh73x00,6.0,5,0.1498648544860535,0.3097746896205361,-0.0631661958800994,-0.0864467078689355,0.0269193106619115,0.1287878787878787,Educate (inform),-0.022077823,0.5239466,0.0055555555555555
E-NrQ6D9wTM,58.0,46,1.0012687410509256,3.2513485638711392,0.455624417635372,-0.2241761195729045,1.9206472802519752,0.8809523809523809,Good health (benefits),-0.08177982,0.6459065,0.0121885574071452
vCV2FTm_jS4,,0,1.5551867570479183,11.51362210010038,1.067056684140569,1.415326505854403,13.838188355519636,0.1956521739130434,Fight (convert),0.105006166,,
cmonufpHYV0,40.0,24,0.693668426976247,-0.0064958918111355,0.1888725306076278,-0.2349672763505247,-0.157406496834922,0.7935960591133004,Good health (benefits),-0.051810548,0.4218038,0.0110530471943515
Tch02h1zogM,1.0,1,0.2341967281785241,-0.2714815370077562,0.2806540793688561,-0.3928197830947674,0.2000674085101054,0.8071428571428572,Good health (personal),-0.04769075,0.13492417,0.0
Fj0uvA0T2rM,4.0,4,0.706611812541524,0.8569013486145933,-0.0002282192474191,-0.2517989515649491,-0.1805918381114562,0.0789473684210526,Educate (inform),-0.033130933,0.38638034,0.0
VVrPWsyByag,38.0,26,0.8923954481140813,-0.2802139789938225,0.2753283440894163,-0.3908185447980094,0.7662372834672436,0.935897435897436,Good health (benefits),0.016432863,0.34326014,0.0057589469354175
_U9JC0UwrOs,1506.0,174,0.8521429742396702,2.059767823980496,-0.1532091345519558,-0.2258572215598908,2.544363622100553,0.956221198156682,Good health (benefits),-0.040034004,0.5452718,0.009564172317301
5z6q5p-QBJg,50.0,44,0.1924560686572871,0.8192778223450606,-0.0504927369766577,-0.0115691460481998,0.1741625476037682,0.1071428571428571,Educate (inform),-0.043225773,0.6761699,0.0014747750109845
93PJDElhza4,0.0,0,1.2256290697435592,0.2466928628574091,0.8409443433221463,-0.1919777196726396,0.3449586335763465,0.978125,Good health (benefits),-0.029819947,,
4N_BIJB5koQ,3.0,2,1.4263220455719634,14.24148037474004,2.1831003721856344,3.730813884642231,2.992982244071431,0.298780487804878,Fight (protest),-0.11922194,0.06025536,0.0
St2rEpkzdIs,7.0,6,0.1197396130746885,-0.0141764960048496,0.3474987661498989,1.4385499169176206,0.4102932070108324,0.8055555555555556,Good health (personal),-0.10572686,0.56004745,0.0
2Q4WUnc0Xag,967.0,152,-0.1499936934236858,0.0677630520164801,-0.1267190899039054,0.6386600481335077,0.5392150026820325,0.8345724907063197,Good health (personal),0.0015328092,0.43933177,0.0027315708318833
W2ebmSIyXdc,50.0,29,0.3289390081869821,0.0610168632437689,8.946216755168116,-0.3183408976535237,2.227104200849575,0.8833333333333333,Choose (personal),-0.18013997,0.58878845,0.0026633229601071
1yHJ2DsGHuo,1.0,1,1.0526785639714211,0.4599954371572207,0.0651489832409771,-0.1211414379766677,0.8797840043486341,0.7666666666666666,Good health (benefits),-0.040329505,0.32150468,0.0153846153846153
QZA9jcIQH18,0.0,0,0.1342121873192151,-0.1208324568622235,0.0014780273725428,-0.4057389810279775,1.281682971842488,0.9918414918414918,Good health (personal),0.008198398,,
OXmLLgP8CRA,,0,0.4985394664633765,1.3480431512903743,-0.0503818912335036,0.2502147866362953,1.488604635913069,0.7873563218390804,Noise,,,
sVjkpIQbt-U,44.0,41,0.172275808176493,-0.2914227613321646,-0.1588767799621367,-0.3322552889392515,0.3490905004172071,0.6453744493392071,Good health (personal),-0.027553262,0.33768588,0.0025035143399562
n0lHogGSPlE,,0,0.3426406470495109,0.3105139686971739,5.836155031687748,-0.2116680955313466,1.113202581108697,0.6968354430379746,Noise,,,
LRT3YwUEYYQ,,0,1.202226348526905,-0.0960061575552437,0.350918441074279,-0.2757247256823593,18.58530281563036,0.9166666666666669,Noise,,,
cl3NcgOZ3Jw,18.0,13,-0.0518460545743129,-0.1888293572884149,-0.1533879997953335,-0.2908287203183429,0.2724100358194537,0.7816901408450705,Good health (personal),-0.046536002,0.41657117,0.0
bDIPPGFJDk0,67.0,59,1.2970873627726067,5.061114612567403,7.915936777314321,-0.0169713057264342,0.1159007713208198,0.8627659574468085,Choose (personal),-0.12132541,0.4475736,0.0061225163422337
wDiD2Elgncs,639.0,158,1.4358145681925325,0.0411456720708009,9.334767337515537,-0.1880247163853011,0.5268503203772912,0.8953488372093024,Choose (personal),-0.05658929,0.7236145,0.0076632481282509
9QtALGpSOmQ,10.0,8,0.041659668735646,1.6603520591521808,0.4313898578554205,0.1791446119906921,-0.0726032992192262,0.8225806451612903,Good health (personal),-0.0038283234,0.30632815,0.0
qeOtoOQ8hp4,33.0,25,1.4945680840934643,0.2342252590773723,1.1251584043260816,-0.2088636911228961,1.395901626007574,0.9285714285714286,Good health (benefits),-0.0054404247,0.5355677,0.0102259887005649
hs_R4ZGj_7s,14.0,11,-0.1313075000846377,-0.2043784197318277,-0.1257523502808084,-0.3001153144298701,-0.0004554680076288,0.8125,Good health (personal),-0.11137162,0.5063203,0.0025252525252525
4EL7SEGwGUA,,0,0.1607641088580209,0.1393522944316869,-0.1446757446523411,0.1062622023888171,3.0498090979366443,0.95,Good health (personal),-0.010221012,,
gWGrhj2jeu4,,0,0.764819464440869,1.297549720095645,0.5517599830576493,-0.1825650882466702,1.708792933522396,0.0555555555555555,Educate (inform),0.017517187,,
AIHWm71dT3w,14.0,8,1.3012841175443226,0.6038050536472779,0.922073561099041,1.5839589972128305,10.8586034773293,0.8901515151515151,Choose (personal),-0.03832731,0.427626,0.0
-3_mRjyMSFU,,0,1.4759115262215523,0.0448995105794984,1.8975243609390704,-0.0706492687708984,16.234027465570257,0.7,Noise,,,
UG6ty9CLXXs,1.0,0,1.098533491277774,16.31090565436723,0.3919527045925381,-0.1987359311900378,1.5911090983858838,0.8625,Choose (discuss),0.15967113,,
LOlD5i79rbQ,,0,0.0079171761401801,-0.0047749892450382,0.4823407427054851,-0.3463283727922902,0.593838848585937,0.9953703703703703,Noise,,,
sjl1tO7QSc0,3.0,2,1.4521763455782308,0.197047220459216,10.635185458396824,-0.3359261125645849,0.2077283690730691,0.6911764705882353,Choose (personal),-0.1116675,0.15671633,0.0833333333333333
qY2GwxyIPvg,0.0,0,1.3752872881830678,0.1161068313879237,4.907588929559607,-0.3615904666986828,0.8122133151664577,0.8409090909090908,Choose (personal),-0.18398903,,
wtTg6cwhfqg,,0,-0.0342990722461871,-3.425573962073538e-05,0.112516459938935,-0.36955495129542,-0.1199526056564029,0.9342105263157896,Good health (personal),-0.076920316,,
7qoCpLdxmbU,,0,1.5292596241139444,0.8692540661436124,0.6621453985938125,-0.3515104863050401,11.146734841777434,0.625,Noise,,,
T-ddUn_ta1Y,2.0,1,-0.0942440717902109,-0.264879825575788,-0.1699577462268049,-0.3634416104485556,-0.277259363869182,0.75,Good health (personal),-0.04622426,0.27401868,0.1111111111111111
C5rhpIhl3FY,0.0,0,0.6244885987176442,1.0373469261170902,-0.1281240958362521,-0.3956668809568953,-0.0574478230535669,0.9285714285714286,Good health (benefits),-0.020902418,,
Pe59EmqZCEk,0.0,0,-0.1477564044612574,-0.2483281532471723,-0.1675772874295971,0.45622852345956,-0.1215978021564002,0.9375,Good health (personal),-0.11075669,,
NfETOduTfuM,0.0,0,-0.168140196371502,-0.1440366898354543,-0.1614411919852401,-0.3643281586982324,-0.252902112658058,0.9444444444444444,Good health (personal),-0.096030846,,
EQ8Xz2UmuTk,0.0,0,-0.1017269025585608,1.1459126399295336,0.0885162571079746,-0.3773986951879607,-0.4349312515116987,0.9913793103448276,Good health (personal),0.02150567,,
wxfCJs_-FaE,15.0,14,0.9283577971490248,-0.0407198936974293,4.078924188257418,-0.251117282132538,0.8407839002686259,0.84375,Choose (personal),0.037633087,0.116013594,0.00348234531908
hLdJGW7IffM,,0,1.3850606869193134,1.9808457519296068,0.2272638080503241,-0.3327763088815059,14.286155203337865,0.9485294117647058,Noise,,,
K98y55mRarU,76.0,61,1.4544595661304556,0.1567507139359884,1.3877826239488755,1.1355995045339295,1.679410056242843,0.875,Choose (personal),0.050186016,0.075252704,0.0081440012621157
ykMzMvd0KkQ,562.0,190,0.8483153180074339,1.460477698553404,1.5915244880525914,1.3284033422959922,0.0131731238615894,0.7253521126760564,Choose (personal),-0.195776,0.73557234,0.0097486658935652
2cP3EwUWoQg,0.0,0,1.4101393313856367,0.6900918379894448,0.3164286423931851,-0.0092831826543411,3.340609508684602,0.6544117647058824,Good health (benefits),-0.03671188,,
CixEIYFLh7A,,0,0.0733380558543272,0.1900655710288685,3.2456296696723435,-0.3282670801792965,-0.0563413359169234,0.6015625,Noise,,,
pz1hz1W408M,23.0,19,-0.1005954539809706,-0.2204211742280611,-0.1946038933907623,-0.3445057647095396,-0.005695671793038,0.6583333333333333,Good health (personal),-0.04825276,0.59695,0.0155033050462413
oB9JdNHoLlc,10.0,7,1.5246026272245945,0.3238842139334885,2.129775562035643,-0.265996819153492,4.729497908905416,0.6672185430463576,Good health (benefits),-0.031437077,0.60797,0.0043483302411873
x7RlghsM_8I,332.0,181,0.8085959013664467,0.6586304682105649,-0.1739781013691319,1.0295118941124648,11.050369287722402,0.6517857142857143,Choose (personal),-0.1263546,0.67290634,0.0103728652991856
nxNHmbfcpzY,,0,1.4947896643381866,2.633166696943112,0.4131639817185978,0.0775205368406826,10.04526143958016,0.8142857142857143,Noise,,,
0EkOdN8y830,,0,1.531275327488076,-0.1086972659970681,0.0203719607765305,-0.3543332255016215,10.271388753099984,0.9444444444444444,Noise,,,
APey59gsUds,65.0,55,-0.09307023263188,-0.2023106664801048,-0.1612891605436879,-0.3763688322438991,-0.142239733065924,0.958955223880597,Good health (personal),-0.0043176515,0.50104976,0.013772827594434
NWVCHeaqbJU,60.0,49,-0.1079643508236482,0.3041132176287607,-0.1143507378664523,-0.1795668384294691,-0.3266274147496206,0.7769230769230769,Good health (personal),0.010912258,0.40478447,0.0090136498622708
TIW-BOH9Koo,,0,1.4785752093161608,0.3047055828776227,10.017375316894697,-0.377639109618861,1.0791236078260764,0.890625,Noise,,,
iA34zb-WpG8,2.0,0,0.5141390006824654,4.752836686821094,5.506364280274758,0.0716814618406958,-0.2022096370688214,0.8636363636363636,Choose (personal),0.054440103,,
pgLQlbOt54M,53.0,41,1.5084263075163913,12.739546438066093,1.0520343440540816,-0.3453115097488944,0.6470990840544029,0.7879464285714286,Choose (discuss),0.15243289,0.45222506,0.011224086334951
n1LLOY8VPSg,,0,-0.1469028983766505,-0.2831976792759912,-0.0674296384216906,-0.3123646945147506,-0.1096860962812933,0.7459785522788204,Good health (personal),-0.014154616,,
6T6dA3tK7j0,,0,0.4470090390543749,1.2678006663040255,0.0398041304551834,0.1205331459739993,3.244766581989507,0.9861111111111112,Noise,,,
AiXOAbqKHdM,46.0,37,1.002919959172023,2.840366641119481,-0.0167996693212895,-0.2517156077041843,1.4182164250333065,0.8026315789473684,Good health (benefits),-0.0278586,0.34284583,0.0036346691519105
t0iWtc89DeU,62.0,51,-0.1048743644376346,-0.3555711172704214,-0.0435054283668276,-0.2873744739854787,0.191139065273945,0.6126760563380281,Good health (personal),0.032879375,0.68259203,0.0046131843348431
wwjoYq6fTdA,255.0,187,0.4272175949049339,5.261958676890082,0.1210883624818708,0.5437318739722357,1.0224435305554478,0.7535211267605634,Good health (personal),-0.083626315,0.5815917,0.005832000910061
Aej9bjnSxx4,1.0,1,-0.0897909768181803,0.5210559397858369,-0.0854158000270288,-0.142183076237451,0.7648233507065529,0.8913043478260869,Good health (personal),-0.17509,0.13164154,0.0
pMZgbyWV75s,,0,-0.1224731010711514,0.2292213487421241,0.5130731896246916,-0.2525857158880945,-0.3588713974660726,0.9202127659574468,Noise,,,
QGADPZJR51o,20.0,16,0.7270422235815525,0.8727248192778765,0.0681121278918038,-0.2263728491988509,-0.0170274817655185,0.6379310344827587,Good health (benefits),-0.044039622,0.58943105,0.0049167109123705
LhsaP8BS3Bk,125.0,104,-0.0378602087676698,-0.3037918368373217,-0.1304241851598865,-0.3563398608863262,0.1019321545577171,0.905,Good health (personal),0.0076719816,0.5145975,0.0071572406322021
r80Uoi4TS84,20.0,15,-0.1225293332924205,-0.2693671010267882,-0.090190381177654,-0.3671569265568818,-0.0377131662946728,0.950381679389313,Good health (personal),-0.00796835,0.3621515,0.0030807652652079
k2cxE29_e8E,,0,1.5240444017527628,8.801682509327307,0.8334722251221748,1.424264284449463,21.92146383831289,0.875,Noise,,,
f5Q2ORjkF6Y,0.0,0,1.54219688237985,9.142014459943685,0.31214862232118,-0.1710735731842279,3.834972709859479,0.234375,Fight (convert),0.04557651,,
MlYh0VqA7II,168.0,153,-0.0387114491764625,-0.3228501470986022,-0.1737417769139361,-0.3684001849995433,1.8702717258334016,0.8333333333333333,Good health (personal),-0.04408145,0.56292784,0.0097215876808257
klU1pTAohe8,12.0,9,0.6995888409345976,5.856393943396837,-0.0871131383754571,-0.3805019250642377,0.2459088572464355,0.8653846153846154,Good health (benefits),-0.100292474,0.62336147,0.0036449147560258
xJLqbX5Z3KA,19.0,18,0.7081028302831175,1.297786847346642,0.334203850621881,-0.3478159308036292,0.5549934488486775,0.645,Good health (benefits),-0.04353688,0.3479092,0.0105664488017429
T10WSrkWZak,47.0,42,0.0533796427970066,1.284920203147586,-0.1161830081345769,-0.268301079058262,1.4049967162134565,0.934782608695652,Good health (personal),-0.18509173,0.5361113,0.0088652781762317
-deuop0B0pM,,0,1.166582476563957,3.8705550234131,-0.1289505172763106,-0.2391226704358627,0.3195734176865871,0.0714285714285714,Noise,,,
-TOtTrZMxvI,,0,-0.1506673454598157,-0.1098928474667817,0.0440454084370795,-0.3056619084111592,-0.3545605333970169,0.7321428571428572,Noise,,,
zv-MLIR91Fw,39.0,32,0.4812463039493412,0.4507182002936536,-0.1562614651691745,-0.3514657832973402,-0.1734611306471378,0.75,Good health (benefits),-0.09985214,0.60381466,0.0052393353174603
K9uBnsxkiFQ,,0,-0.1160700233543262,1.57390405001751,-0.0668484841253798,0.3906163453861073,-0.5492328072718741,0.8333333333333333,Noise,,,
QIij9aK8JS8,3.0,3,0.9131939780381666,1.9632102957500348,-0.0042909302667617,-0.3542652738677399,1.2714522883388448,0.975,Good health (benefits),-0.030651331,0.39212337,0.0087719298245614
A6-HJV9Zj9o,136.0,121,1.5571083778776271,4.812670468045355,9.004781900503154,0.0618481876959054,10.07456164177171,0.6973684210526316,Choose (personal),-0.13031338,0.53206015,0.0102565610813866
UI8uNCMs2pY,,0,0.5664529564986273,0.5757390417682352,-0.1465796940969536,0.1819713846492761,0.121976182250927,0.7628205128205128,Noise,,,
W8vtF_kbHrY,0.0,0,-0.0430976176523903,-0.2076624057188209,-0.1841899461465445,-0.3745821329776729,0.0015547069173793,0.9285714285714286,Good health (personal),-0.074745335,,
BIYqw3_mhgQ,1.0,1,1.5427283899765138,14.621996246252069,0.9092515009835236,-0.2563310078439257,10.330674341431578,0.8043478260869565,Choose (discuss),0.16050978,0.49697638,0.1428571428571428
XGYo-vuhJzE,4.0,3,0.6951748698377704,2.2804169954263607,0.5561774647001854,-0.157878865394507,0.8410555955235703,0.1296296296296296,Educate (inform),0.04811688,0.29490602,0.0
0oxnq3quPGE,57.0,44,0.2350297915262445,1.9271727504449616,-0.0878254960811636,-0.1756654041260747,-0.0059686505881614,0.9107142857142856,Good health (personal),-0.15479936,0.5857145,0.003613280344369
DhGU0cQXUGs,0.0,0,1.5316064510209844,0.2450634780049892,0.9936560257659566,0.1883160730106765,2.287711080541881,0.25,Educate (inform),-0.0621061,,
hK2HYybyofk,181.0,124,-0.1134896216578059,1.2385370984044397,0.06099096002601,3.170778259651289,7.988126309564898,0.3455882352941176,Fight (protest),-0.102993764,0.70101655,0.0083754823351857
ZnKWU-ZFkw4,16.0,12,-0.1595237190350313,-0.2648962922427977,-0.1374511077576188,-0.1500965085927071,-0.3937641540977566,0.8225806451612903,Good health (personal),-0.07133185,0.5519412,0.0118464052287581
Z84Du9B4CoE,80.0,65,0.1655691405877153,0.7695910585672066,-0.1447532919304253,-0.3515629595882945,0.5130929592271759,0.3706896551724138,Educate (inform),0.03173296,0.653072,0.0038186670041873
of3cb8eXP_U,5.0,5,-0.139400780864813,-0.2960673758770176,-0.1560981449456658,-0.1824499934323468,-0.2003427278784964,0.7783018867924528,Good health (personal),-0.025636448,0.5040323,0.0
SlPHRY_UJCk,135.0,119,-0.0028095805049397,-0.1612199376447717,-0.0977904389064658,-0.3999686040676522,1.299969040255859,0.9814814814814814,Good health (personal),-0.08330016,0.62151164,0.0121712091213862
BtqXeym7H8A,1567.0,154,1.5240570482136755,0.7936920818048074,1.1363170899539248,-0.2572505079949222,6.763303941144094,0.25,Educate (inform),-0.19722572,0.6682596,0.0074867425406616
ctipO7gTt_Q,2.0,2,-0.1750483790807508,-0.273284954060354,-0.1452134417270552,-0.3946523528238878,-0.3520435866084024,0.2246376811594203,Educate (inform),-0.0462413,0.28769943,0.0
KEBP8188dMg,4.0,2,1.0549624079407334,0.2894213638574013,5.85548248185248,0.5588533852207836,0.8325070291756609,0.9166666666666669,Choose (personal),0.045468215,0.06220863,0.0
h0sP45Myd7E,124.0,109,-0.1125162271237478,-0.3664375777094442,-0.1794959994805325,-0.2398787029364183,-0.2045215194382532,0.9739583333333331,Good health (personal),-0.03881553,0.48785427,0.0083067064909776
HgaRKxAC3ao,9.0,8,0.871843078879872,-0.2840037217203561,-0.1663602213610829,-0.3194148798776882,1.6081660260731556,0.9146341463414632,Good health (benefits),0.03793984,0.42536828,0.0
RcbeJEUnii4,,0,0.0305859466388352,0.840574711677537,-0.1634487366545144,-0.3322691548620081,9.865751550337215,0.3875,Noise,,,
iv7nnlmmlpg,401.0,159,-0.0887223241531919,-0.2137647822302308,-0.0492689940066204,-0.3317518430253909,-0.1858945956049998,0.7211538461538461,Good health (personal),0.03484279,0.35214037,0.0077891556417831
Ilx_Xyk8pDY,17.0,15,1.1583254953626307,3.145067731441088,6.514698590668995,0.5329390377816109,1.069420534838357,0.03125,Educate (inspire),0.03415339,0.71000665,0.0005962369692346
aU7yur9JEYE,65.0,56,1.5128838109378244,0.5987603480049827,1.3040137814918586,0.3535079208031124,1.410944981163481,0.9224137931034484,Good health (benefits),-0.054336842,0.4948625,0.0038223842737547
QmvpzB11AMg,1011.0,172,0.7103772517484538,6.436604110964105,0.1498883511930888,1.5522874688847477,13.40659570526701,0.8020833333333333,Choose (personal),-0.13067137,0.71670336,0.0078545725526253
gnXTFR16ND8,26.0,24,-0.0845236546004223,0.8140557694310112,0.3789734390104052,0.7787432361102963,0.1685421516671091,0.8333333333333333,Good health (personal),-0.028237896,0.29958236,0.0089307253283909
8k8E0nir-kE,109.0,95,1.201811152746803,0.3497023536718349,0.309745740836641,-0.3000007698505768,1.7122341424934209,0.7833333333333333,Good health (benefits),0.03094588,0.7058179,0.0071098654359616
LFMSkOigZlE,141.0,104,-0.1759732895773385,-0.3485692332228575,-0.1470330465324969,-0.4292512846205669,-0.2652396518631321,0.9545454545454546,Good health (personal),-0.05261933,0.5229224,0.0081360857132943
54TrKRdARdQ,,0,0.3332810725757753,-0.3103829056214701,2.014157784590308,-0.1740869951343004,-0.1765032718760452,0.9772727272727272,Noise,,,
HAk2Hl39ED0,27.0,24,1.3208246808459414,0.460509146445515,0.1590600505838388,-0.1969527773512659,1.2870056619599874,0.7629310344827587,Good health (benefits),-0.0918252,0.45706874,0.0126173371647509
fd0PEZD6g9w,17.0,15,1.508319151025053,5.349251576398052,0.1298242047546422,-0.0918349633471939,0.7852946085234541,0.8078703703703703,Choose (discuss),-0.0390613,0.2865143,0.0049417249417249
poRKZoG0hcU,133.0,110,0.4071158315413817,-0.1141733294774642,0.0969395469664954,-0.3453162944013294,0.1361079218703053,0.8555555555555556,Good health (personal),-0.06606615,0.73764604,0.0251468869669322
-qN2jE-qKy0,70.0,61,0.8918848695196318,-0.1872379780106773,-0.044077966936259,-0.373344204637824,0.0227096386354956,0.7857142857142857,Good health (benefits),-0.054175626,0.6078876,0.0011612021857923
QMVcfKx_LiI,6.0,3,1.5035642598410894,0.5344346810252621,0.8378894199562261,-0.3005521053506592,4.7956194812255255,0.25,Educate (inform),-0.1926443,0.51809365,0.0
_S9UZCptxVg,386.0,179,1.439332635499245,0.2224908476851778,0.4635293183663663,-0.3776900326747264,1.967937808099191,0.1695402298850574,Educate (inform),-0.060043383,0.6951615,0.0065238524001024
-LKPgRix-A4,3901.0,184,1.3217648828730832,12.558757288719256,0.1348969978952846,0.0428220172882219,3.392979609038946,0.8191489361702128,Choose (discuss),0.1684492,0.6950796,0.0063050427388733
59m74cIUmMI,27.0,25,0.066226042475426,0.9086138385072484,-0.1283964032839342,-0.2482845860742394,-0.0787174806129749,0.975,Good health (personal),-0.14047256,0.68395156,0.0069619085833968
